site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
nhdhr_135998717,390,39009,424,145,235235.728915587,-71.88679622284224,43.150946691281,188
nhdhr_87402563,390,39009,424,154,92651.6906513982,-71.89287472262431,44.31742400566161,322
nhdhr_92797293,390,39009,425,150,1382342.84871462,-71.79925959291319,43.86749851648038,397
nhdhr_135998445,390,39009,425,145,449749.717341544,-71.76739031252121,43.217217971102166,131
nhdhr_135998088,390,39009,425,146,127703.14418731,-71.75477214673691,43.25090290797309,120
nhdhr_135996972,436,43600,426,146,273466.669056234,-71.67913695379039,43.28417924277885,124
nhdhr_92797353,390,39009,427,150,180890.986562269,-71.59167935790347,43.80008124002578,307
nhdhr_{AD210F9E-16BA-4959-88B0-DC2B85ED18D3},390,39004,421,154,1762252.84679245,-72.2648800658194,44.26983453856221,328
nhdhr_{363A6067-A94A-4DA7-9187-EED11F14C850},390,39004,422,151,2222431.8968245,-72.15102118668588,43.922756454244926,126
nhdhr_120802878,390,39004,422,149,4675176.98475896,-72.14736694600239,43.627414949674545,227
nhdhr_107204287,390,39009,427,149,3750925.02603806,-71.52423787266919,43.65871820161619,164
nhdhr_107204833,390,39009,427,148,17039187.5040048,-71.5110187497491,43.536349307648045,146
nhdhr_107204091,390,39009,428,149,1454756.05872673,-71.45202757988825,43.72418059959664,158
nhdhr_{4B4084FE-E1F1-404B-9E14-2EE7D81B6478},390,39004,422,155,1637704.43100704,-72.21910392423268,44.411895793295464,472
nhdhr_{74A2E271-A096-4AE1-ADDE-9C35F45DA59B},390,39004,417,147,711032.19847736,-72.75635517217292,43.46993518034267,536
nhdhr_{BDDF96A2-F5FD-4B84-A739-D41D048AA07E},390,39004,418,144,290028.09375394,-72.70382531004425,43.05787516623755,145
nhdhr_{531F8475-793F-44E4-B1DD-459B968161F8},390,39004,418,147,764398.074311549,-72.70179709332491,43.45181978692667,314
nhdhr_{88D5B4F5-85B5-4C31-9AC2-FC6C632187A8},390,39004,418,143,396100.268957256,-72.68375483194275,42.918251535115964,418
nhdhr_{31DA044A-D6C2-449E-9E04-646960DB36D9},390,39004,418,147,83029.5169982873,-72.66568364068459,43.47119148676356,479
nhdhr_{86A7B7DA-CB07-4F09-B530-AE5A38C1A69D},390,39004,418,149,74581.7617354393,-72.6458208411127,43.686334307048455,578
nhdhr_{FBE62C52-95E2-4E2D-B924-94B711C76779},390,39004,421,151,261238.739807636,-72.30575155582713,43.89290450510252,401
nhdhr_76911095,390,39009,421,149,63190.9247065224,-72.26276091989962,43.72725941973352,131
nhdhr_{1212B5F5-1249-46BB-ADEB-D9489750D6C2},390,39004,421,150,62041.2627203502,-72.25310434041006,43.850738588111376,185
nhdhr_135999277,390,39009,423,143,558200.074240675,-72.09991693310883,42.95131498133699,401
nhdhr_{B49782CC-FEC6-4C4C-B57C-80D916980898},390,39004,423,156,271386.780015808,-72.0955837610716,44.53447103461338,382
nhdhr_135999460,390,39009,423,142,248954.218829479,-72.02281593703874,42.86230888153703,332
nhdhr_135996135,390,39009,423,147,289157.646859375,-72.00584011327597,43.40058457460572,335
nhdhr_92797225,390,39009,425,151,201364.462572815,-71.75195779557461,43.87766470456586,340
nhdhr_87402245,390,39009,426,154,793632.739900498,-71.67075949490734,44.34690244291264,336
nhdhr_107205117,390,39009,427,147,222328.751992013,-71.53904806928924,43.429129367635824,229
nhdhr_107204467,390,39009,428,148,178898.910104536,-71.43216045755698,43.569907659632484,162
nhdhr_120803263,390,39004,423,148,1297121.20793559,-72.117806906718,43.5269066850527,337
nhdhr_135995141,390,39009,424,147,2436952.61074336,-71.95351625370701,43.4263026743074,248
nhdhr_135999191,436,43600,424,143,1699616.70312158,-71.93254998496937,42.97551010863421,206
nhdhr_{55DF87F0-9102-4FF7-A814-9F8C530C6C1B},390,39004,417,149,45937.8991547357,-72.81248552967395,43.64887895462305,658
nhdhr_{381522D3-C355-401C-B56C-D3186CF9D52F},390,39004,417,148,81322.8933513146,-72.75403651932547,43.55265262726925,405
nhdhr_{698EB38A-EB47-4E5B-BDCD-348C2DBAE0A8},390,39004,417,148,445407.660965222,-72.75853705228519,43.56577172040049,409
