,site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
5101,nhdhr_120020978,390,39004,253,174,2979738.56290189,-93.29033160632034,46.80215795424093,370
5025,nhdhr_86280405,390,39004,231,171,2986500.63830743,-96.05456046391217,46.43053311857849,382
407,nhdhr_37258825,390,39004,62,74,2990014.97176836,-117.18546975056215,34.25878222807259,1559
2888,nhdhr_155469252,390,39004,297,115,2990158.76353258,-87.80873195935763,39.42654249128085,185
12126,nhdhr_77358146,390,39004,279,167,2995146.73492181,-90.06670924204172,45.89985134937937,472
4566,nhdhr_69884336,390,39004,283,169,3000035.98539142,-89.54865170499563,46.155899544600494,499
4583,nhdhr_75473665,390,39004,295,166,3002623.34616074,-88.03216414860684,45.83713034590232,352
11310,nhdhr_61499453,436,43621,373,97,3003373.69586379,-78.31355539011753,37.24203033173546,96
601,nhdhr_72575683,390,39009,177,106,3005042.175324,-102.75509083294071,38.30299746128589,1181
2549,nhdhr_121624092,390,39004,293,140,3007711.16396745,-88.27099517319775,42.506585100130536,241
1625,nhdhr_112040099,390,39009,348,25,3014071.68204033,-81.41580655983644,28.134543663007392,16
10448,nhdhr_46364352,390,39009,364,89,3014486.02054663,-79.41765065512477,36.20505856229,177
6792,nhdhr_45339715,390,39004,243,159,3014998.69922621,-94.59996677764336,44.87744157493825,327
5131,nhdhr_114540053,390,39004,275,184,3016770.28342052,-90.50871592584477,48.046737214227065,565
4565,nhdhr_69885392,390,39004,283,168,3017684.36856944,-89.59412512266294,46.08872333955786,498
5126,nhdhr_120020638,390,39004,273,182,3022050.45101635,-90.76032888883327,47.82514975630372,541
3005,nhdhr_132542447,390,39004,235,148,3023752.70973305,-95.55618784842892,43.58309573883709,475
1190,nhdhr_68030237,390,39004,341,30,3025375.22927624,-82.28091096934881,28.770490803195795,11
695,nhdhr_122975624,390,39010,414,131,3030208.71144793,-73.20647235308782,41.412753461995614,108
12196,nhdhr_77358110,390,39004,279,167,3030565.47077652,-90.06822092389518,45.927634217227656,472
5562,nhdhr_45385910,390,39004,245,163,3032432.57351582,-94.30640237669913,45.39894551966445,340
11231,nhdhr_{E78EEE1C-3E03-4584-A1EC-2F91767395A6},390,39004,416,149,3033016.99121496,-72.91092635657819,43.73093805158715,455
433,nhdhr_128057905,390,39009,159,121,3034135.75891405,-105.0390539566105,40.18222374103737,1510
5575,nhdhr_166867869,390,39004,246,173,3040965.42897685,-94.13457014437236,46.69134439967287,375
6251,nhdhr_80997303,390,39004,269,184,3041694.03989394,-91.27482815260919,48.016684379520385,457
5556,nhdhr_120018773,390,39004,239,162,3042027.3507315,-95.04376290955837,45.309923691930855,363
11641,nhdhr_112955199,390,39004,57,160,3043186.05367769,-117.79917282817192,45.025649207007646,957
6899,nhdhr_114542689,390,39004,276,182,3043990.567459,-90.46714745157452,47.874673987364396,539
11895,nhdhr_47482243,390,39001,264,168,3045655.57518875,-91.98471895594437,46.09319297388011,300
3244,nhdhr_167790445,390,39004,323,99,3051900.76584958,-84.5548332409292,37.476888509311685,265
11815,nhdhr_47483868,390,39004,262,168,3053013.65848714,-92.13454448845042,46.03768395762395,301
11156,nhdhr_81234707,390,39009,100,115,3056308.28177037,-112.46978440610462,39.4050014907778,1440
3478,nhdhr_{71EDAB99-35BF-470B-80E4-308AD356B128},390,39004,426,157,3058795.90896463,-71.64888648985989,44.64772343217613,397
11898,nhdhr_74924991,390,39004,269,168,3062102.74703839,-91.277084599126,46.0566318909608,411
8519,nhdhr_72863677,390,39004,245,175,3064588.81018044,-94.30458568893974,46.90868647574053,405
2674,nhdhr_154247560,390,39009,299,127,3068173.96488627,-87.50300867551368,40.97950115085061,200
10139,nhdhr_61772655,390,39004,402,128,3069123.10744419,-74.65913398116481,41.019533847342366,230
11673,nhdhr_51738259,390,39004,67,179,3071821.3087962,-116.60774149404423,47.46631329082986,648
7929,nhdhr_58125937,390,39004,236,166,3078025.08257639,-95.4336587562427,45.8748032610376,415
10493,nhdhr_46366916,390,39009,361,89,3078893.20121686,-79.85603529857316,36.16784232327266,244
609,nhdhr_130238526,390,39009,179,101,3080056.91827409,-102.56254291270592,37.63344349638921,1289
3924,nhdhr_121860894,390,39004,313,147,3081358.38380493,-85.76780615000663,43.38648525461559,232
1633,nhdhr_107714443,390,39009,351,28,3087549.07260839,-81.11250946872408,28.60459157671189,16
6214,nhdhr_120020292,390,39004,257,163,3088078.64940605,-92.86487725090127,45.42737579360103,265
641,nhdhr_136497714,390,39009,156,96,3089829.09619416,-105.41441894893008,37.0933199654186,2542
9123,nhdhr_120020295,390,39004,257,163,3093567.81711631,-92.82957815721524,45.407171995811005,271
