,site_id,x,y,area_m2,lon,lat,log_area,cluster
2811,nhdhr_143250723,290,141,574271.9601844329,0.14234763028612313,0.27189386783714925,0.015095297003164115,5
2812,nhdhr_49232955,290,101,385868.145736983,0.14294334681097826,-0.4963200664244575,-0.22673650451944533,12
2813,nhdhr_152287292,290,127,66647.1422485914,0.1459034763470364,-0.008527504441646105,-1.2948174525347276,12
2814,nhdhr_151829138,292,115,707604.2550372491,0.16613359720661716,-0.2361004530440654,0.14208012204231363,5
2815,nhdhr_143249311,292,144,530895.040881086,0.1666416342287835,0.32698192528960557,-0.03267335036283168,5
2816,nhdhr_121623126,293,142,625773.902624658,0.17441130495552784,0.28574647298716355,0.0673327027643511,5
2818,nhdhr_121628955,293,137,221859.674105398,0.17691635097420425,0.18838203076640034,-0.5633549302307076,12
2819,nhdhr_49226775,293,103,66725.4709235951,0.17769995006364536,-0.45719869228032484,-1.294103049717084,12
2820,nhdhr_49233947,294,101,255280.313540645,0.18572071108743093,-0.5040281955982798,-0.47801158211428774,12
2821,nhdhr_109993344,294,131,318476.35307721,0.19142063101569431,0.0787030867341385,-0.34348235027804547,5
2822,nhdhr_121628332,294,137,124498.00209974301,0.1935568668669869,0.19198283403225777,-0.9147559504238261,12
2825,nhdhr_121628376,295,137,942320.681731573,0.19788570494958246,0.19063664006942946,0.31631054583872675,5
2826,nhdhr_109981506,295,140,518751.482734712,0.19810240068860852,0.2482954868320858,-0.046747146353471825,5
2829,nhdhr_109983258,295,139,560155.544390231,0.20284685872198888,0.22526282323802663,-4.2375348841274904e-05,5
2830,nhdhr_155855988,297,106,52033.1313098166,0.22397195089591365,-0.40031145831010145,-1.4453704785128112,12
2833,nhdhr_155467852,299,116,202589.81710311398,0.25497908873166253,-0.22179611988701703,-0.6186186494407228,12
2834,nhdhr_121207155,299,133,189950.825410768,0.25545084396171536,0.10905576298344309,-0.6577988752359292,12
2835,nhdhr_155474186,300,109,81799.9642475024,0.2651383329208971,-0.3399319531024528,-1.1702151712539657,12
2836,nhdhr_{536e606e-d70e-46ba-94eb-a7c9fa76fd12},301,113,52563.2381494911,0.26949285545625834,-0.2788103248610818,-1.4392053873221309,12
2837,nhdhr_{193559cb-2066-4a4a-9020-59e46498a19c},302,112,125440.216474624,0.282715929964279,-0.2827049333467781,-0.91017022442091,12
2838,nhdhr_121207869,303,131,100571.43442303699,0.2979299791642752,0.08279253930863487,-1.0445626070677105,12
2839,nhdhr_123165728,306,133,2352948.73054341,0.32785558586483265,0.10310135329911423,0.8728776856465661,5
2840,nhdhr_{C903366F-2427-4C6B-8E93-C7E81B96A61E},245,128,2612175.03308062,-0.39377243545148927,0.01745526086201592,0.9364448804306537,1
2842,nhdhr_120871593,243,148,9034110.79952596,-0.4236502805732055,0.3917567026083249,1.691136064802731,15
2843,nhdhr_{06F93A13-5AFB-4691-8F39-5140F8986BFE},249,126,3158201.77199598,-0.34682154881328064,-0.028257517316962882,1.0518964960787047,1
2844,nhdhr_118874723,249,149,2763859.41557786,-0.34916520187908046,0.41821857011722324,0.9707756151901594,1
2845,nhdhr_130642900,251,148,6086422.29253498,-0.3200682415483672,0.397846788662656,1.4509223029628293,15
2846,nhdhr_120018171,259,150,320484.22765813,-0.2241520826031486,0.4448185962532096,-0.33965980239599736,13
2847,nhdhr_155097700,267,134,3528620.16389575,-0.13304320977598874,0.1296482711280552,1.1193503231937323,15
2848,nhdhr_130996490,223,149,382180.50531875103,-0.6616238073780123,0.41844728944189236,-0.23257703321436207,13
2849,nhdhr_88308166,229,134,729027.181887921,-0.587655244316225,0.12357469197302234,0.1602208463047708,13
2850,nhdhr_{E6636D04-855D-4F02-B6F9-DF51EB3D5C94},230,130,213411.5565244,-0.5811515743536142,0.04802772330366233,-0.5869675143393248,0
2851,nhdhr_120826306,242,146,974198.023248484,-0.4343870880093233,0.3608179744344912,0.3365453067269655,1
2852,nhdhr_118874713,242,149,176701.197389336,-0.4337605848063803,0.4217195513068744,-0.7017760920125846,0
2854,nhdhr_107255443,243,127,126338.504272453,-0.4207562476060007,-0.008733702699371673,-0.9058302486043027,12
2855,nhdhr_118874783,249,149,1370366.59439272,-0.3481099926173382,0.41649845103692806,0.5440806994411195,1
2856,nhdhr_121629819,252,149,66692.70093768589,-0.31296178109936057,0.4128947049674763,-1.2944018288530115,0
2857,nhdhr_133551735,254,128,522325.853668111,-0.2957092322864535,0.008121686670002692,-0.04257069600116761,5
2860,nhdhr_122935415,272,148,142959.20567021,-0.0761213221868283,0.39660135701066845,-0.8306579161092532,0
2861,nhdhr_130996104,223,150,1921239.21740609,-0.6571009384674837,0.43070874914115487,0.7495926339420322,1
2862,nhdhr_74255920,230,130,426770.52483011,-0.5723304730845563,0.05499916775298295,-0.16545813195735187,13
