,site_id,rmse,rmse_prev,rmse_improve,FType,FCode
775,nhdhr_85083556,2.0542793879188346,1.0381184525212948,1.0161609353975398,390,39004
776,nhdhr_123165712,0.6630718916256004,0.13456069819796418,0.5285111934276363,390,39009
777,nhdhr_120032894,1.4245967493160172,1.0816731085623874,0.3429236407536298,390,39009
778,nhdhr_152225331,1.9183345488788643,1.958875052553032,-0.04054050367416773,390,39004
779,nhdhr_121650552,1.405395942818784,0.8244191144251365,0.5809768283936476,390,39004
780,nhdhr_143249470,1.667315590092453,1.6247437729562613,0.042571817136191736,390,39004
781,nhdhr_44745243,1.6030168800329718,1.9288012088818955,-0.3257843288489237,390,39004
782,nhdhr_48792214,1.6613342412115804,2.039067423275924,-0.3777331820643435,390,39004
783,nhdhr_48790558,0.9021987915039062,1.0231399536132812,-0.120941162109375,390,39004
784,nhdhr_48783834,0.6945152282714844,0.2454814910888672,0.4490337371826172,390,39004
785,nhdhr_48788034,2.1657066345214844,1.475481033325195,0.6902256011962893,390,39004
786,nhdhr_151863252,0.8407681582477483,1.0835211419313449,-0.24275298368359655,390,39004
787,nhdhr_40199671,1.648527416714114,2.3829241747539864,-0.7343967580398725,390,39004
788,nhdhr_121623851,2.4930699662632523,2.1120699620708816,0.3810000041923707,390,39004
789,nhdhr_109981376,1.811174168918655,1.0230631440174311,0.7881110249012238,390,39004
790,nhdhr_109981594,2.2191911750860065,2.234380684041648,-0.015189508955641529,390,39004
791,nhdhr_109984694,1.175390165517955,1.6333533638517537,-0.4579631983337986,390,39009
792,nhdhr_155220172,1.3953992873625367,1.2880047798045136,0.10739450755802316,436,43600
793,nhdhr_85084276,0.9583562193919896,0.6974359586843379,0.2609202607076516,390,39004
794,nhdhr_132544104,1.9061421265746457,0.5332069049795063,1.3729352215951394,390,39004
795,nhdhr_120871578,2.4297008514404297,1.988996505737305,0.4407043457031248,390,39004
796,nhdhr_{7695F8E9-8551-42D2-9A9D-2335EE1CFBB7},0.5979042053222656,1.095294952392578,-0.4973907470703123,390,39001
797,nhdhr_152745948,1.3993965265339645,0.8583446866771757,0.5410518398567888,390,39004
798,nhdhr_159101759,3.580573958607088,3.5354087970279786,0.04516516157910955,390,39004
799,nhdhr_130997150,1.6711327409697188,1.4724974135961562,0.1986353273735626,390,39004
800,nhdhr_159107663,1.6931953430175781,0.7006282806396484,0.9925670623779297,390,39004
